id,company_name,website,phone,city,niche,google_maps_url,google_rating,google_review_count
f9147271-b76e-4421-9d83-74cd29cce612,Belledonne Piscine,,0609351696,,pisciniste,https://www.google.com/maps/place/Belledonne+Piscine/data=!4m7!3m6!1s0x478a5edbf222c4d9:0x71e19449b39de22a!8m2!3d45.211465!4d5.851408!16s%2Fg%2F1wc46w9v!19sChIJ2cQi8tteikcRKuKds0mU4XE?authuser=0&hl=fr&rclk=1,4.8,4
cde2d996-4b09-4ae8-b87d-03798f8d2dd8,DA CUNHA Alexandre,,0685208708,,chauffagiste,https://www.google.com/maps/place/DA+CUNHA+Alexandre/data=!4m7!3m6!1s0xd552111c7ed803d:0x4e05a34d3d9d6df9!8m2!3d44.7900902!4d-0.6666598!16s%2Fg%2F11gxnp2hcg!19sChIJPYDtxxEhVQ0R-W2dPU2jBU4?authuser=0&hl=fr&rclk=1,4.8,30
a875880d-f9ce-439f-8253-3c883f3cc134,Saita Entreprise SAS,https://www.saita-entreprise.com/,0556202034,,chauffagiste,https://www.google.com/maps/place/Saita+Entreprise+SAS/data=!4m7!3m6!1s0xd55189fa0df01dd:0xaca02cafbfeb685f!8m2!3d44.7740246!4d-0.6553324!16s%2Fg%2F1thz2_6p!19sChIJ3QHfoJ8YVQ0RX2jrv68soKw?authuser=0&hl=fr&rclk=1,5.0,3
e81353fc-e3f4-4114-9b2c-ebfe7101db5f,Therma Pro | Plombier Chauffagiste Climatiseur à Martigues,https://thermapro.fr/,0647452374,Martigues,chauffagiste,https://www.google.com/maps/place/Therma+Pro+%7C+Plombier+Chauffagiste+Climatiseur+%C3%A0+Martigues/data=!4m7!3m6!1s0x2d7d82e1f766dbbd:0x8242cf6d9bd4ee70!8m2!3d43.3917162!4d5.0356763!16s%2Fg%2F11rzgpm44y!19sChIJvdtm9-GCfS0RcO7Um23PQoI?authuser=0&hl=fr&rclk=1,4.6,18
9807eaa7-3d16-41be-af9d-a3f8cc806870,𝙂𝙄𝙉𝙀𝙍 𝘾𝙇𝙄𝙈𝘼𝙏𝙄𝙌𝙐𝙀,https://ginerclimatique.fr/,0428296841,,chauffagiste,https://www.google.com/maps/place/%F0%9D%99%82%F0%9D%99%84%F0%9D%99%89%F0%9D%99%80%F0%9D%99%8D+%F0%9D%98%BE%F0%9D%99%87%F0%9D%99%84%F0%9D%99%88%F0%9D%98%BC%F0%9D%99%8F%F0%9D%99%84%F0%9D%99%8C%F0%9D%99%90%F0%9D%99%80/data=!4m7!3m6!1s0x47f4c35ade6ddafb:0x9a329577dd25a259!8m2!3d45.6978389!4d4.8941565!16s%2Fg%2F11j7gy9jkn!19sChIJ-9pt3lrD9EcRWaIl3XeVMpo?authuser=0&hl=fr&rclk=1,5.0,239
4166a4c2-77f5-46d5-95ba-9ce189aaf37f,Symbiose énergie,http://www.symbiose-energie.fr/,0972134972,,chauffagiste,https://www.google.com/maps/place/Symbiose+%C3%A9nergie/data=!4m7!3m6!1s0x47f4ebc3efd6203b:0x75c3153a682da9f7!8m2!3d45.710495!4d4.8650467!16s%2Fg%2F11h1977fpt!19sChIJOyDW78Pr9EcR96ktaDoVw3U?authuser=0&hl=fr&rclk=1,4.3,123
103f1d30-9953-4aa4-9d8e-2af1012899ca,À CIEL OUVERT,https://www.acielouvert.com/,0472509552,,bardage,https://www.google.com/maps/place/%C3%80+CIEL+OUVERT/data=!4m7!3m6!1s0x47f4c264c9bf0cad:0x8c0ae5d504cc8f17!8m2!3d45.6926971!4d4.8719984!16s%2Fg%2F11_qn4yjz!19sChIJrQy_yWTC9EcRF4_MBNXlCow?authuser=0&hl=fr&rclk=1,5.0,167
df88c48a-9c05-42c3-8b3e-85c25eef3b6d,Elp Confort,https://www.google.com/aclk?sa=L&ai=DChsSEwidj4TVwr2UAxVCi2gJHaJtKIoYACICCAEQBhoCd2Y&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XDPUAUzFs_ZVX3wl6n1cn2PFtqQYe96lu2MwjcnNSTIGimj6Rxf5XRoCJ1QQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_3yJv8YXtRmKKfUFCQ2OysIj1vRRQ&adurl&q&ctype=99&nis=6,0297291509,,chauffagiste,https://www.google.com/maps/place/Elp+Confort/data=!4m7!3m6!1s0x481016028f3d17b3:0x79ec12c230d5e3b6!8m2!3d47.662049!4d-2.908972!16s%2Fg%2F11j2yqnvqz!19sChIJsxc9jwIWEEgRtuPVMMIS7Hk?authuser=0&hl=fr&rclk=1,5.0,21
71dd249c-1598-45b6-9a32-bbe19668ecc3,EURL Côte et Nature,https://leray.info/page/cote-et-nature-paysagiste-herbignac-6492c22c41a5e55bcb8c2bad/null,0688580588,,paysagiste,https://www.google.com/maps/place/EURL+C%C3%B4te+et+Nature/data=!4m7!3m6!1s0x80aa72cde9fe065:0x22930222ec83318b!8m2!3d47.4238873!4d-2.3371625!16s%2Fg%2F11kr8x6nyn!19sChIJZeCf3iynCggRizGD7CICkyI?authuser=0&hl=fr&rclk=1,5.0,18
0de7007a-f4eb-441b-86d5-a79681fc69ce,Société Solunergie Rénovation Climatisation Plomberie Electricité,http://www.solunergie.fr/,0749989283,,chauffagiste,https://www.google.com/maps/place/Soci%C3%A9t%C3%A9+Solunergie+R%C3%A9novation+Climatisation+Plomberie+Electricit%C3%A9/data=!4m7!3m6!1s0xaa05204ceb061689:0x74ebe6bc18fc2ea4!8m2!3d43.4098373!4d5.0491748!16s%2Fg%2F11rrqmsvdf!19sChIJiRYG60wgBaoRpC78GLzm63Q?authuser=0&hl=fr&rclk=1,4.9,88
