id,company_name,firstname,lastname,email,phone,phone_secondary,website,google_maps_url,profession,niche,code_naf,forme_juridique,siret,siren,address,code_postal,city,departement,zone,source,status,date_creation_entreprise,prospect_created_at,notes,emails_found,email_quality,best_email,best_email_quality,pages_visited
9c86f2d9-cca6-4268-8473-7d67edd66f61,Terspective,,,,0322330910,,https://www.groupeterspective.fr/,https://www.google.com/maps/place/Terspective/data=!4m7!3m6!1s0x47e7831baae94be9:0xf277a092c9cbf7a8!8m2!3d49.8618794!4d2.2281878!16s%2Fg%2F11f62h2l2s!19sChIJ6UvpqhuD50cRqPfLyZKgd_I?authuser=0&hl=fr&rclk=1,Paysagiste,,,,,,,,,,,csv_import,nouveau,,2026-05-12 12:37,,,,,,5
29d924e5-732a-449b-9c92-1f9cd2252141,LES JARDINS DE LA RIANDERIE,,,,0630699235,,https://www.lesjardinsdelarianderie.fr/?utm_source=gmb,https://www.google.com/maps/place/LES+JARDINS+DE+LA+RIANDERIE/data=!4m7!3m6!1s0x47c32972839da7bb:0xbe78ba0222b72243!8m2!3d50.6887784!4d3.1283215!16s%2Fg%2F119typbns!19sChIJu6edg3Ipw0cRQyK3IgK6eL4?authuser=0&hl=fr&rclk=1,Paysagiste,,,,,,,,,,,csv_import,nouveau,,2026-05-12 12:37,,didiermathon.j@gmail.com,medium,didiermathon.j@gmail.com,medium,5
0b0a3f9b-3573-4ef2-a019-aadeba029752,AW Espace Vert,,,,0787447408,,https://aw-entretienandrenovation.jimdosite.com/,https://www.google.com/maps/place/AW+Espace+Vert/data=!4m7!3m6!1s0x47eb1d1b67c91091:0x9ee77f4209b30fac!8m2!3d49.1682072!4d5.3932267!16s%2Fg%2F11ks09jmy0!19sChIJkRDJZxsd60cRrA-zCUJ_554?authuser=0&hl=fr&rclk=1,Service d'élagage,,,,,,,,,,,csv_import,nouveau,,2026-05-12 12:37,,,,,,5
1a8322ee-f150-48b3-bd9b-0ea721d1e0fa,Cap Vert Entreprises,,,,+32495250244,,https://www.capvertclotures.be/,https://www.google.com/maps/place/Cap+Vert+Entreprises/data=!4m7!3m6!1s0x47ea9a329ff0b097:0x83c7081aa692f855!8m2!3d49.765804!4d5.517038!16s%2Fg%2F11c2kwg3vq!19sChIJl7DwnzKa6kcRVfiSphoIx4M?authuser=0&hl=fr&rclk=1,Service d'élagage,,,,,,,,,,,csv_import,nouveau,,2026-05-12 12:37,,f.robaye@gmail.com,medium,f.robaye@gmail.com,medium,5
e10eb5a0-6585-45c2-8b8b-3a777a4df287,val d'authie services,,,,0603636285,,https://www.val-dauthie-services.fr/,https://www.google.com/maps/place/val+d%27authie+services/data=!4m7!3m6!1s0x47dd9729695b2427:0x93a746713c6e62c5!8m2!3d50.2707135!4d1.9869649!16s%2Fg%2F11y95tcsnr!19sChIJJyRbaSmX3UcRxWJuPHFGp5M?authuser=0&hl=fr&rclk=1,Paysagiste,,,,,,,,,,,csv_import,nouveau,,2026-05-12 12:37,,valdauthieservices@gmail.com,medium,valdauthieservices@gmail.com,medium,3
62f82784-c4f4-4257-9cb6-2d960f2cf667,entreprise faes elagage arbres abattage arbres lievin nettoyage toiture elagueur grimpeur Pas-de-Calais 62,,,,0643372852,,https://www.elagueur62.com/,https://www.google.com/maps/place/entreprise+faes+elagage+arbres+abattage+arbres+lievin+nettoyage+toiture+elagueur+grimpeur+Pas-de-Calais+62/data=!4m7!3m6!1s0x47dd3a82c81ec0cd:0x81dfb2bff952e90a!8m2!3d50.4108854!4d2.7911265!16s%2Fg%2F11c30x_rzd!19sChIJzcAeyII63UcRCulS-b-y34E?authuser=0&hl=fr&rclk=1,Service d'élagage,,,,,,,,,,,csv_import,nouveau,,2026-05-12 12:37,,,,,,5
9db8c1a5-ca0b-4b1f-8975-329636bcf883,"Maillard Paysage - Paysagiste Beauvais (Oise) : terrasses, allées, plantations, clôtures, carports, parking drainant",,,,0344790103,,http://dev.maillard-paysage.fr/,"https://www.google.com/maps/place/Maillard+Paysage+-+Paysagiste+Beauvais+%28Oise%29+:+terrasses,+all%C3%A9es,+plantations,+cl%C3%B4tures,+carports,+parking+drainant/data=!4m7!3m6!1s0x47e705c4955dc1e5:0x5bc9b8633b87ec14!8m2!3d49.4850864!4d2.0438468!16s%2Fg%2F1hc192rcx!19sChIJ5cFdlcQF50cRFOyHO2O4yVs?authuser=0&hl=fr&rclk=1",Paysagiste,,,,,,,,,,,csv_import,nouveau,,2026-05-12 12:37,,,,,,5
9960c4fe-5ac0-4e66-91cc-c6df3e442309,Bourdeleau Franck,,,,0322783273,,https://www.bourdeleau.fr/,https://www.google.com/maps/place/Bourdeleau+Franck/data=!4m7!3m6!1s0x47e7ebb3e9ca3e1f:0x4d273906818d9863!8m2!3d49.7075032!4d2.5945591!16s%2Fg%2F11b6dgj0mr!19sChIJHz7K6bPr50cRY5iNgQY5J00?authuser=0&hl=fr&rclk=1,Paysagiste,,,,,,,,,,,csv_import,nouveau,,2026-05-12 12:37,,sosordi80@outlook.fr,medium,sosordi80@outlook.fr,medium,3
0d8f5d28-9f1f-437b-b1f9-f751df53fc9e,CFP Clotures Fermetures Production,,,,0297469898,,https://www.cfp56.com/,https://www.google.com/maps/place/CFP+Clotures+Fermetures+Production/data=!4m7!3m6!1s0x4810236b895b3471:0xfbc77b5c84388336!8m2!3d47.7512702!4d-2.8353595!16s%2Fg%2F11gx_x_q5f!19sChIJcTRbiWsjEEgRNoM4hFx7x_s?authuser=0&hl=fr&rclk=1,Siège social,,,,,,,,,,,csv_import,nouveau,,2026-05-12 12:37,,direction@cfp56.com,high,direction@cfp56.com,high,5
0d08f06d-189a-4f19-9699-32ce190d66e2,Roche Construction - Gros oeuvre - Menuiseries exterieur - Clôture,,,,0374473333,,https://www.roche-renov.fr/,https://www.google.com/maps/place/Roche+Construction+-+Gros+oeuvre+-+Menuiseries+exterieur+-+Cl%C3%B4ture/data=!4m7!3m6!1s0x29260ecdbefd53a5:0x593fe518f05756d!8m2!3d49.6024718!4d2.8180272!16s%2Fg%2F11tds2m8yf!19sChIJpVP9vs0OJikRbXUFj1H-kwU?authuser=0&hl=fr&rclk=1,Travaux généraux,,,,,,,,,,,csv_import,nouveau,,2026-05-12 12:37,,contact@roche-renov.fr;rocheconstruction@outlook.fr;yekta.kaya@orange.fr,high;medium;medium,contact@roche-renov.fr,high,4
