id,niche_source,company_name,google_maps_url,google_rating,google_review_count,category_google,address,city,phone,website,niche_assigned,city_matched,city_match_method,competitors_count_lsa,emails_found,email_quality,best_email,best_email_quality,pages_visited
38adf4d5-6694-4c49-9c61-33b1a39a5483,bardage,Aube Etanche,https://www.google.com/maps/place/Aube+Etanche/data=!4m7!3m6!1s0x47e9755aba2c7b17:0xa8af61a25c0d882a!8m2!3d49.2679594!4d3.995371!16s%2Fg%2F11llylqh9f!19sChIJF3ssulp16UcRKogNXKJhr6g?authuser=0&hl=fr&rclk=1,4.5,8,Couvreur,·,,0326823352,https://www.aube-etanche.fr/,bardage,Reims,gps_2km,2,aube.etanche@gmail.com;contact@simplebo.fr,medium;low,aube.etanche@gmail.com,medium,4
6dd02eff-2c73-4a97-bf9e-99438cf57319,bardage,Lariviere,https://www.google.com/maps/place/Lariviere/data=!4m7!3m6!1s0x47e9752bcad1577b:0xf26ff122a23fc364!8m2!3d49.258015!4d3.980695!16s%2Fg%2F1thw1h0v!19sChIJe1fRyit16UcRZMM_oiLxb_I?authuser=0&hl=fr&rclk=1,4.8,29,Magasin de materiaux de construction,·,,0326098883,https://www.lariviere.fr/trouver-votre-agence/lariviere-SEB/entry-445-lariviere-reims.html,bardage,Reims,gps_3km,2,info-lariviere@lariviere.fr,high,info-lariviere@lariviere.fr,high,4
a3c4ca28-a29c-4e14-aee1-9289b31df33a,bardage,BK BATIMENT 93 - Entreprise au Havre Façadier spécialiste du ravalement de façade et rejointoiement de brique - LE HAVRE,https://www.google.com/maps/place/BK+BATIMENT+93+-+Entreprise+au+Havre+Fa%C3%A7adier+sp%C3%A9cialiste+du+ravalement+de+fa%C3%A7ade+et+rejointoiement+de+brique+-+LE+HAVRE/data=!4m7!3m6!1s0x47e02fcac8f21671:0xeaa1ee6f456c1a36!8m2!3d49.5173865!4d0.1121902!16s%2Fg%2F11nt2n3t0z!19sChIJcRbyyMov4EcRNhpsRW_uoeo?authuser=0&hl=fr&rclk=1,4.9,64,Entrepreneur spécialisé dans l'isolation,·,,0769575268,http://www.bkbatiment.com/,bardage,Le Havre,name,2,bkbati93@gmail.com,medium,bkbati93@gmail.com,medium,3
75f241ba-c771-4ecb-bd8b-708175773e87,bardage,Multi Travaux ALSACE,https://www.google.com/maps/place/Multi+Travaux+ALSACE/data=!4m7!3m6!1s0x4796c7dc5cdb6971:0xa7b26acf25441859!8m2!3d48.560618!4d7.737394!16s%2Fg%2F11cfgz8_1!19sChIJcWnbXNzHlkcRWRhEJc9qsqc?authuser=0&hl=fr&rclk=1,4.9,119,Entreprise de construction,76 Rue de la Plaine des Bouchers,,0388603165,https://www.google.com/aclk?sa=L&ai=DChsSEwiqwtLsgr6UAxUALAYAHQWhKoQYACICCAEQARoCd3M&co=1&ase=2&gclid=CjwKCAjwq6DQBhBVEiwA4ZD5XLj7ZWskn1GrJSvGj5OgJ1gD8m-mQZZfkpwseq36WtRWmmJyHdWcpBoCU-kQAvD_BwE&cce=2&category=acrcp_v1_32&sig=AOD64_3pioW1RG3n0mhUHK2vbOiXDe-wag&adurl&q&ctype=99&nis=6,bardage,Strasbourg,gps_2km,2,press@google.com,high,press@google.com,high,5
1080338d-e399-4ab7-8651-4217d4f36cc4,bardage,SMC bois,https://www.google.com/maps/place/SMC+bois/data=!4m7!3m6!1s0x47e9770c20d0d7d3:0x392042bf232d32d8!8m2!3d49.2392431!4d4.0946062!16s%2Fg%2F11rzbg5nwc!19sChIJ09fQIAx36UcR2DItI79CIDk?authuser=0&hl=fr&rclk=1,4.8,157,Couvreur,·,,0326500322,http://www.smcbois.com/,bardage,Reims,gps_4km,2,contact@smcbois.com,high,contact@smcbois.com,high,4
2aca875d-cfa2-4174-abe3-24580c6de2e2,bardage,Sarabela,https://www.google.com/maps/place/Sarabela/data=!4m7!3m6!1s0x47e97521cfb262a7:0x594e4864dc68f7e5!8m2!3d49.2410148!4d4.0573482!16s%2Fg%2F11vssdkpqj!19sChIJp2KyzyF16UcR5fdo3GRITlk?authuser=0&hl=fr&rclk=1,5.0,7,Couvreur,19b Av. Henri Farman,,0634251078,http://www.sarabela.fr/?utm_source=gmb,bardage,Reims,gps_2km,2,contact@sarabela.fr;sarabela.couverture@gmail.com,high;medium,contact@sarabela.fr,high,4
7ec55647-e9bf-419c-87a0-920f79697d4e,bardage,BAT CONSEIL | Couverture Isolation,https://www.google.com/maps/place/BAT+CONSEIL+%7C+Couverture+Isolation/data=!4m7!3m6!1s0x47e9752c8658cc89:0xe99ecdb05a01e6d5!8m2!3d49.1935018!4d4.009853!16s%2Fg%2F1tf7f_9h!19sChIJicxYhix16UcR1eYBWrDNnuk?authuser=0&hl=fr&rclk=1,4.8,16,Entrepreneur spécialisé dans l'isolation,4 Rue des Verriats,,0326848869,http://www.bat-conseil.com/,bardage,Reims,gps_7km,2,,,,,5
312f6ebd-3911-4d3c-a16f-4e23cf5a419f,bardage,ATTILA Reims Est,https://www.google.com/maps/place/ATTILA+Reims+Est/data=!4m7!3m6!1s0x47e976bd2afa60d1:0xf7d9a178aecf4fd5!8m2!3d49.239049!4d4.091452!16s%2Fg%2F11fzf8pyct!19sChIJ0WD6Kr126UcR1U_Prnih2fc?authuser=0&hl=fr&rclk=1,4.6,10,Couvreur,·,,0352626263,http://www.attila.fr/nos-agences/attila-reims-est?utm_source=Google&utm_medium=MyBusiness,bardage,Reims,name,2,contact@attila.fr;support@attila.fr,high;high,contact@attila.fr,high,4
0ac7421c-4908-410f-9b11-af97c83f131b,bardage,S.R.B.Isolation,https://www.google.com/maps/place/S.R.B.Isolation/data=!4m7!3m6!1s0x47e977fad808558b:0xc72042a2e9fbfc4f!8m2!3d49.238873!4d4.090165!16s%2Fg%2F11kp_8v1gt!19sChIJi1UI2Pp36UcRT_z76aJCIMc?authuser=0&hl=fr&rclk=1,4.9,159,Entrepreneur spécialisé dans l'isolation,·,,0667719884,https://www.isolation-51.fr/,bardage,Reims,gps_4km,2,contact.srbi51@gmail.com,medium,contact.srbi51@gmail.com,medium,5
50b54399-2340-4699-a3b1-6a4aa891be07,bardage,EM BATIMENT - RGE ISOLATION PAR L'EXTÉRIEUR ET RAVALEMENT DE FAÇADE,https://www.google.com/maps/place/EM+BATIMENT+-+RGE+ISOLATION+PAR+L%27EXT%C3%89RIEUR+ET+RAVALEMENT+DE+FA%C3%87ADE/data=!4m7!3m6!1s0x47e02fde590e2dcf:0xd1e45e007f403568!8m2!3d49.5203189!4d0.0818575!16s%2Fg%2F11fmd97cm9!19sChIJzy0OWd4v4EcRaDVAfwBe5NE?authuser=0&hl=fr&rclk=1,4.9,110,Entrepreneur spécialisé dans l'isolation,·,,0232851596,https://www.embatiment.com/,bardage,Le Havre,gps_3km,2,contact@embatiment.com,high,contact@embatiment.com,high,3
