"id","company_name","firstname","lastname","email","phone","phone_secondary","website","google_maps_url","profession","niche","code_naf","forme_juridique","siret","siren","address","code_postal","city","departement","zone","source","status","date_creation_entreprise","prospect_created_at","notes"
"0d8f5d28-9f1f-437b-b1f9-f751df53fc9e","CFP Clotures Fermetures Production","","","","0297469898","","https://www.cfp56.com/","https://www.google.com/maps/place/CFP+Clotures+Fermetures+Production/data=!4m7!3m6!1s0x4810236b895b3471:0xfbc77b5c84388336!8m2!3d47.7512702!4d-2.8353595!16s%2Fg%2F11gx_x_q5f!19sChIJcTRbiWsjEEgRNoM4hFx7x_s?authuser=0&hl=fr&rclk=1","Siège social","","","","","","","","","","","csv_import","nouveau",,"2026-05-12 12:37",""
"0d08f06d-189a-4f19-9699-32ce190d66e2","Roche Construction - Gros oeuvre - Menuiseries exterieur - Clôture","","","","0374473333","","https://www.roche-renov.fr/","https://www.google.com/maps/place/Roche+Construction+-+Gros+oeuvre+-+Menuiseries+exterieur+-+Cl%C3%B4ture/data=!4m7!3m6!1s0x29260ecdbefd53a5:0x593fe518f05756d!8m2!3d49.6024718!4d2.8180272!16s%2Fg%2F11tds2m8yf!19sChIJpVP9vs0OJikRbXUFj1H-kwU?authuser=0&hl=fr&rclk=1","Travaux généraux","","","","","","","","","","","csv_import","nouveau",,"2026-05-12 12:37",""
"29de710b-5c34-44dd-9983-dec3a8b813cc","BATISEC - Clôture de chantier","","","","0182882723","","http://www.batisec.fr/","https://www.google.com/maps/place/BATISEC+-+Cl%C3%B4ture+de+chantier/data=!4m7!3m6!1s0x47c329072244ebc9:0xd3737fefa225a7cb!8m2!3d50.7493354!4d3.1373885!16s%2Fg%2F1td9zvhb!19sChIJyetEIgcpw0cRy6clou9_c9M?authuser=0&hl=fr&rclk=1","Travaux généraux","","","","","","","","","","","csv_import","nouveau",,"2026-05-12 12:37",""
"9c86f2d9-cca6-4268-8473-7d67edd66f61","Terspective","","","","0322330910","","https://www.groupeterspective.fr/","https://www.google.com/maps/place/Terspective/data=!4m7!3m6!1s0x47e7831baae94be9:0xf277a092c9cbf7a8!8m2!3d49.8618794!4d2.2281878!16s%2Fg%2F11f62h2l2s!19sChIJ6UvpqhuD50cRqPfLyZKgd_I?authuser=0&hl=fr&rclk=1","Paysagiste","","","","","","","","","","","csv_import","nouveau",,"2026-05-12 12:37",""
"62f82784-c4f4-4257-9cb6-2d960f2cf667","entreprise faes elagage arbres abattage arbres lievin nettoyage toiture elagueur grimpeur Pas-de-Calais 62","","","","0643372852","","https://www.elagueur62.com/","https://www.google.com/maps/place/entreprise+faes+elagage+arbres+abattage+arbres+lievin+nettoyage+toiture+elagueur+grimpeur+Pas-de-Calais+62/data=!4m7!3m6!1s0x47dd3a82c81ec0cd:0x81dfb2bff952e90a!8m2!3d50.4108854!4d2.7911265!16s%2Fg%2F11c30x_rzd!19sChIJzcAeyII63UcRCulS-b-y34E?authuser=0&hl=fr&rclk=1","Service d'élagage","","","","","","","","","","","csv_import","nouveau",,"2026-05-12 12:37",""
"5841133e-4800-4a11-ac97-513f0c5e1389","Falize-Blondel","","","","0322476414","","http://falizeblondel.fr/","https://www.google.com/maps/place/Falize-Blondel/data=!4m7!3m6!1s0x47e784fc13a06ce9:0x59aa0e06fbacbdac!8m2!3d49.898056!4d2.3563!16s%2Fg%2F11c1q4r6rx!19sChIJ6WygE_yE50cRrL2s-wYOqlk?authuser=0&hl=fr&rclk=1","Paysagiste","","","","","","","","","","","csv_import","nouveau",,"2026-05-12 12:37",""
"0b0a3f9b-3573-4ef2-a019-aadeba029752","AW Espace Vert","","","","0787447408","","https://aw-entretienandrenovation.jimdosite.com/","https://www.google.com/maps/place/AW+Espace+Vert/data=!4m7!3m6!1s0x47eb1d1b67c91091:0x9ee77f4209b30fac!8m2!3d49.1682072!4d5.3932267!16s%2Fg%2F11ks09jmy0!19sChIJkRDJZxsd60cRrA-zCUJ_554?authuser=0&hl=fr&rclk=1","Service d'élagage","","","","","","","","","","","csv_import","nouveau",,"2026-05-12 12:37",""
"7747ac00-eb9f-4d00-b79c-0e08a9025f42","SPE Paysagiste Saint-André-Lez-Lille","","","","0320218450","","http://spe-paysagiste.fr/","https://www.google.com/maps/place/SPE+Paysagiste+Saint-Andr%C3%A9-Lez-Lille/data=!4m7!3m6!1s0x47c32b6d69a2bbfb:0xdafef1254d47cf0d!8m2!3d50.6538905!4d3.0539463!16s%2Fg%2F11f6z7nzgp!19sChIJ-7uiaW0rw0cRDc9HTSXx_to?authuser=0&hl=fr&rclk=1","Paysagiste","","","","","","","","","","","csv_import","nouveau",,"2026-05-12 12:37",""
"1a8322ee-f150-48b3-bd9b-0ea721d1e0fa","Cap Vert Entreprises","","","","+32495250244","","https://www.capvertclotures.be/","https://www.google.com/maps/place/Cap+Vert+Entreprises/data=!4m7!3m6!1s0x47ea9a329ff0b097:0x83c7081aa692f855!8m2!3d49.765804!4d5.517038!16s%2Fg%2F11c2kwg3vq!19sChIJl7DwnzKa6kcRVfiSphoIx4M?authuser=0&hl=fr&rclk=1","Service d'élagage","","","","","","","","","","","csv_import","nouveau",,"2026-05-12 12:37",""
"6a5ee658-141a-4722-bbed-da5c83b4c2f1","Serv'Oise","","","","0344821573","","https://www.facebook.com/p/Servoise-paysage-cl%C3%B4tures-100064829645859/","https://www.google.com/maps/place/Serv%27Oise/data=!4m7!3m6!1s0x47e71721f0a51bbd:0x49b5813a06eb1ce3!8m2!3d49.4411219!4d1.8730628!16s%2Fg%2F1tpbb949!19sChIJvRul8CEX50cR4xzrBjqBtUk?authuser=0&hl=fr&rclk=1","Paysagiste","","","","","","","","","","","csv_import","nouveau",,"2026-05-12 12:37",""
